queue,mode,producers,consumers,oversubscribe,capacity,qos,seconds,rate,trial,ops,elapsed_s,throughput_mops,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,fair_cov,calib_ns,unix_time
moody,latency,4,4,4,1024,none,2.00,1000000,0,2000000,2.0000,1.000,7962124.7,1427542,67319333,122764667,152719708,0.0000,122585583,1783189184
ms,throughput,1,1,1,1024,none,2.00,1000000,1,62724917,5.4290,11.554,0.0,0,0,0,0,0.0000,96861083,1783189192
vyukov,throughput,1,1,1,1024,none,2.00,1000000,1,234076309,2.0051,116.743,0.0,0,0,0,0,0.0000,114292875,1783189194
faa,throughput,1,1,1,1024,none,2.00,1000000,1,238483889,2.0037,119.021,0.0,0,0,0,0,0.0000,120170375,1783189197
mutex,throughput,1,1,1,1024,none,2.00,1000000,1,65492609,2.0051,32.664,0.0,0,0,0,0,0.0000,121651375,1783189199
moody,throughput,1,1,1,1024,none,2.00,1000000,1,51874016,2.0051,25.872,0.0,0,0,0,0,0.0000,112924167,1783189202
spsc,throughput,1,1,1,1024,none,2.00,1000000,1,703102004,2.0051,350.664,0.0,0,0,0,0,0.0000,123344708,1783189204
ms,throughput,2,2,1,1024,none,2.00,1000000,1,41722602,2.3931,17.434,0.0,0,0,0,0,0.0383,113955250,1783189207
vyukov,throughput,2,2,1,1024,none,2.00,1000000,1,50661346,2.0037,25.285,0.0,0,0,0,0,0.0002,121169792,1783189209
faa,throughput,2,2,1,1024,none,2.00,1000000,1,50979608,2.0029,25.453,0.0,0,0,0,0,0.0007,120912167,1783189212
mutex,throughput,2,2,1,1024,none,2.00,1000000,1,47266305,2.0051,23.574,0.0,0,0,0,0,0.0108,120349208,1783189214
moody,throughput,2,2,1,1024,none,2.00,1000000,1,30545631,2.0051,15.234,0.0,0,0,0,0,0.0011,115441000,1783189217
ms,throughput,4,4,1,1024,none,2.00,1000000,1,11694472,2.0063,5.829,0.0,0,0,0,0,0.0134,118168875,1783189219
vyukov,throughput,4,4,1,1024,none,2.00,1000000,1,15384900,2.0051,7.673,0.0,0,0,0,0,0.0530,122314834,1783189221
faa,throughput,4,4,1,1024,none,2.00,1000000,1,32812354,2.0051,16.364,0.0,0,0,0,0,0.0023,116958667,1783189224
mutex,throughput,4,4,1,1024,none,2.00,1000000,1,38862597,2.0051,19.382,0.0,0,0,0,0,0.0038,122549916,1783189226
moody,throughput,4,4,1,1024,none,2.00,1000000,1,15043103,2.0054,7.501,0.0,0,0,0,0,0.0205,117272000,1783189229
ms,throughput,1,7,1,1024,none,2.00,1000000,1,40468090,7.4205,5.454,0.0,0,0,0,0,0.0000,121108417,1783189237
vyukov,throughput,1,7,1,1024,none,2.00,1000000,1,10810277,2.0063,5.388,0.0,0,0,0,0,0.0000,122263791,1783189239
faa,throughput,1,7,1,1024,none,2.00,1000000,1,40832414,2.0051,20.364,0.0,0,0,0,0,0.0000,116281375,1783189241
mutex,throughput,1,7,1,1024,none,2.00,1000000,1,23393345,2.0050,11.667,0.0,0,0,0,0,0.0000,109135958,1783189244
moody,throughput,1,7,1,1024,none,2.00,1000000,1,14368651,2.0052,7.166,0.0,0,0,0,0,0.0000,117697334,1783189246
ms,throughput,7,1,1,1024,none,2.00,1000000,1,9974099,2.0057,4.973,0.0,0,0,0,0,0.0404,123207250,1783189249
vyukov,throughput,7,1,1,1024,none,2.00,1000000,1,4752101,2.0051,2.370,0.0,0,0,0,0,0.0270,120994917,1783189251
faa,throughput,7,1,1,1024,none,2.00,1000000,1,40532235,2.0051,20.214,0.0,0,0,0,0,0.0037,117671000,1783189254
mutex,throughput,7,1,1,1024,none,2.00,1000000,1,14224677,2.0052,7.094,0.0,0,0,0,0,0.0076,123496708,1783189256
moody,throughput,7,1,1,1024,none,2.00,1000000,1,16075328,2.0021,8.029,0.0,0,0,0,0,0.2119,121828083,1783189259
ms,throughput,2,6,1,1024,none,2.00,1000000,1,32702853,5.2676,6.208,0.0,0,0,0,0,0.0427,124090125,1783189264
vyukov,throughput,2,6,1,1024,none,2.00,1000000,1,12324091,2.0053,6.146,0.0,0,0,0,0,0.0033,122327125,1783189267
faa,throughput,2,6,1,1024,none,2.00,1000000,1,25279195,2.0051,12.608,0.0,0,0,0,0,0.0048,121903833,1783189269
mutex,throughput,2,6,1,1024,none,2.00,1000000,1,31809339,2.0049,15.866,0.0,0,0,0,0,0.0004,122074834,1783189272
moody,throughput,2,6,1,1024,none,2.00,1000000,1,13271999,2.0052,6.619,0.0,0,0,0,0,0.0108,117708208,1783189274
ms,throughput,6,2,1,1024,none,2.00,1000000,1,10975362,2.0053,5.473,0.0,0,0,0,0,0.0537,124461500,1783189276
vyukov,throughput,6,2,1,1024,none,2.00,1000000,1,3927156,2.0010,1.963,0.0,0,0,0,0,0.0201,124803958,1783189279
faa,throughput,6,2,1,1024,none,2.00,1000000,1,36052506,2.0051,17.980,0.0,0,0,0,0,0.0038,122491167,1783189281
mutex,throughput,6,2,1,1024,none,2.00,1000000,1,26065755,2.0040,13.007,0.0,0,0,0,0,0.0071,125792667,1783189284
moody,throughput,6,2,1,1024,none,2.00,1000000,1,13341825,2.0052,6.654,0.0,0,0,0,0,0.1252,124071125,1783189286
ms,throughput,4,4,2,1024,none,2.00,1000000,1,14330447,2.7740,5.166,0.0,0,0,0,0,0.1006,126927709,1783189289
vyukov,throughput,4,4,2,1024,none,2.00,1000000,1,2084717,2.0047,1.040,0.0,0,0,0,0,0.2443,126436709,1783189292
faa,throughput,4,4,2,1024,none,2.00,1000000,1,41047244,2.0046,20.477,0.0,0,0,0,0,0.0070,121250583,1783189294
mutex,throughput,4,4,2,1024,none,2.00,1000000,1,30313628,2.0052,15.117,0.0,0,0,0,0,0.0216,125743500,1783189297
moody,throughput,4,4,2,1024,none,2.00,1000000,1,15416571,2.0052,7.688,0.0,0,0,0,0,0.1142,127400709,1783189299
ms,throughput,4,4,4,1024,none,2.00,1000000,1,14465410,2.8775,5.027,0.0,0,0,0,0,0.1232,127543375,1783189303
vyukov,throughput,4,4,4,1024,none,2.00,1000000,1,2991529,2.0221,1.479,0.0,0,0,0,0,0.1195,126874916,1783189305
faa,throughput,4,4,4,1024,none,2.00,1000000,1,58089021,2.0053,28.968,0.0,0,0,0,0,0.0107,126634834,1783189308
